WKT,fid,Category,AreaKm2
"MULTIPOLYGON (((470981.0011 4608203.8652,471015.8663 4608187.143,471039.802 4608169.3278,471049.2014 4608162.3329,471065.3771 4608153.2614,471077.2903 4608146.813,471084.324 4608139.3628,471093.1306 4608125.4858,471096.8667 4608116.4123,471105.273 4608100.1335,471123.9536 4608080.7857,471131.159 4608073.5803,471140.2325 4608056.6343,471148.9056 4608041.2895,471156.2444 4608027.5459,471167.2648 4607991.6596,471151.6433 4607989.4279,471128.2111 4607978.2697,471092.5049 4607960.4166,471066.8411 4607939.2161,471038.9456 4607914.668,471034.4823 4607895.6991,470985.3862 4607909.0889,470930.7111 4607918.0155,470891.6574 4608011.7443,470852.6037 4608102.1257,470981.0011 4608203.8652)))",1,1,0.0579
"MULTIPOLYGON (((464649.9245 4608168.5701,464670.8686 4608162.3047,464681.4302 4608159.4406,464692.1433 4608154.9356,464709.7207 4608152.9185,464728.4508 4608146.8672,464744.2993 4608118.628,464754.961 4608106.2374,464768.216 4608090.1006,464769.0805 4608087.2191,464765.0463 4608083.7612,464764.182 4608077.9983,464766.4871 4608076.2693,464778.3015 4608072.5233,464793.5736 4608065.0313,464803.371 4608060.1327,464804.5236 4608044.2841,464778.8777 4608042.5552,464758.4187 4608043.1315,464748.9097 4608045.1486,464729.6034 4608063.0142,464706.2628 4608091.5416,464680.9053 4608118.0517,464668.5146 4608127.2726,464648.92 4608135.6291,464642.2925 4608140.2397,464649.9245 4608168.5701)))",2,1,0.0077
"MULTIPOLYGON (((473628.8502 4609030.3863,473616.6053 4609060.9982,473609.8026 4609078.6851,473605.0408 4609109.2969,473603.0 4609137.8681,473605.7211 4609158.2761,473614.5646 4609188.2077,473625.4488 4609226.9829,473631.5712 4609256.2343,473630.2106 4609276.6422,473618.6461 4609318.1384,473582.592 4609435.8242,473551.2998 4609522.2179,473531.5722 4609578.6798,473524.0893 4609608.6114,473521.7083 4609616.0945,473541.7762 4609627.659,473563.2046 4609636.8425,473577.8302 4609645.0056,473593.4764 4609655.5498,473604.7008 4609665.4136,473617.6257 4609674.9372,473628.8502 4609684.8013,473642.7955 4609700.4473,473655.7206 4609719.4946,473659.1219 4609726.6374,473665.9245 4609735.4808,473672.387 4609745.0046,473680.5503 4609753.1678,473688.0331 4609762.3514,473694.4956 4609767.7936,473702.3187 4609769.8343,473710.8221 4609771.1948,473718.6451 4609768.4738,473721.7062 4609762.6914,473726.4682 4609750.7868,473729.1892 4609737.8619,473718.9852 4609726.6374,473704.6996 4609710.9913,473700.618 4609705.5492,473701.2983 4609695.0051,473700.9583 4609683.7808,473694.8358 4609667.7946,473686.6727 4609655.2096,473680.2101 4609642.9649,473674.768 4609634.4616,473671.3667 4609627.659,473672.7272 4609618.8156,473674.768 4609605.8903,473679.8701 4609595.6865,473681.9107 4609590.9245,473682.591 4609582.4214,473680.8903 4609577.6594,473676.1285 4609572.5574,473675.7883 4609565.0746,473679.6266 4609564.1065,473689.7338 4609561.3332,473704.6996 4609554.5303,473715.3351 4609548.601,473721.2747 4609543.8797,473733.6109 4609533.7824,473738.7129 4609526.9797,473745.1856 4609512.5064,473748.6884 4609501.3886,473749.9068 4609490.2708,473750.8206 4609483.2649,473752.8005 4609474.1272,473760.5677 4609458.8973,473765.5935 4609451.8916,473781.2803 4609429.8085,473786.4583 4609423.7164,473794.8348 4609410.9945,473805.719 4609392.6274,473812.8619 4609374.2603,473815.2426 4609359.7512,473817.9637 4609337.1857,473819.3244 4609323.2404,473821.7053 4609312.356,473798.9164 4609300.1113,473804.6986 4609281.064,473824.0861 4609241.2685,473830.5486 4609227.3229,473841.773 4609199.4321,473852.3172 4609169.1603,473865.2421 4609129.7049,473865.9225 4609120.5215,473806.7395 4609096.7122,473748.5767 4609071.2022,473691.0943 4609048.0732,473636.333 4609030.3863,473628.8502 4609030.3863)))",3,1,0.1228
"MULTIPOLYGON (((453554.1466 4598280.5924,453553.8814 4598280.3396,453467.6982 4598198.1982,453529.607 4598127.9821,453542.1166 4598113.7939,453554.9949 4598099.1875,453043.4934 4597907.4638,453032.0622 4597924.1925,452995.6638 4597977.459,453022.9671 4597995.5827,453043.3248 4598015.8773,453086.6998 4598063.2316,453131.6664 4598113.3715,453177.031 4598161.9196,453236.7214 4598230.7624,453305.5642 4598307.9619,453373.2132 4598382.3757,453409.8232 4598433.3115,453523.9676 4598312.3391,453554.1466 4598280.5924)))",4,3,0.1254
"MULTIPOLYGON (((443743.9169 4592880.8624,443744.3052 4592889.4016,443787.7776 4592884.7438,443784.6725 4592948.0118,443829.3092 4592948.3999,443884.8143 4592948.7881,443895.2943 4592915.7955,443909.2676 4592872.7112,443981.851 4592889.4016,444002.8109 4592818.7589,443931.7801 4592797.4108,443931.3918 4592795.082,443944.2009 4592742.2939,443915.0897 4592733.3665,443857.6441 4592713.1828,443853.7626 4592724.4391,443844.0589 4592751.2213,443795.9287 4592736.0836,443781.5673 4592734.1428,443781.1792 4592754.3264,443769.1465 4592782.273,443752.8443 4592825.3574,443744.3052 4592854.4683,443743.1407 4592863.3957,443743.9169 4592880.8624)))",5,2,0.0379
"MULTIPOLYGON (((450307.2263 4601179.9437,450346.8968 4601204.118,450356.8144 4601196.6798,450402.6834 4601112.3798,450445.4534 4601033.6585,450480.7849 4600967.9543,450486.3635 4600953.6977,450490.0826 4600936.9617,450450.4121 4600920.2257,450436.7754 4600933.2425,450361.7733 4601076.4284,450307.2263 4601179.9437)))",6,3,0.0159
"MULTIPOLYGON (((448905.2344 4602486.978,448883.6019 4602501.2237,448887.8228 4602513.3589,448886.7676 4602519.6904,448888.3504 4602526.0218,448903.1237 4602546.599,448913.6762 4602567.1762,448945.861 4602579.3114,448947.9715 4602583.0047,448937.419 4602584.0599,448900.4857 4602581.9495,448888.3504 4602586.698,448895.7372 4602589.3361,448928.9772 4602603.0543,448950.0819 4602610.4409,448992.8191 4602629.4351,449019.1999 4602630.4905,449046.6362 4602622.5761,449040.8325 4602613.0789,449030.8077 4602605.6924,449025.5315 4602589.3361,449020.7829 4602575.0904,449011.8134 4602556.096,449001.7886 4602544.4885,448972.242 4602528.1322,448931.0877 4602504.3895,448905.2344 4602486.978)))",7,3,0.0115
"MULTIPOLYGON (((441900.0286 4592671.7786,441934.3746 4592686.8791,441945.3297 4592690.136,441951.8438 4592685.3987,441965.4637 4592651.0526,441982.6367 4592600.4218,441942.9613 4592591.8353,441906.2464 4592583.5449,441892.9226 4592584.4332,441870.1239 4592586.8018,441861.8335 4592615.2261,441851.4704 4592651.0526,441881.9674 4592663.7843,441900.0286 4592671.7786)))",8,2,0.0094
"MULTIPOLYGON (((441840.9863 4593622.181,441832.3835 4593633.9535,441826.0446 4593646.1786,441817.4416 4593651.612,441819.7055 4593672.8927,441822.4223 4593719.0767,441826.9501 4593750.3187,441837.3641 4593776.1274,441841.8919 4593807.8222,441857.2867 4593862.6089,441872.2284 4593909.2457,441888.9813 4593950.4489,441903.9232 4593980.3326,441920.2234 4593998.8966,441928.8264 4594017.9135,441933.8069 4594019.2719,441970.0295 4594026.9692,441999.0076 4594033.3081,441972.7462 4593980.7853,441979.9908 4593975.352,442021.6468 4593951.8072,442044.2859 4593938.6765,442033.872 4593892.4925,442018.4694 4593863.6127,442038.8525 4593850.8365,442056.9639 4593839.0643,442069.1891 4593836.3475,442063.7557 4593808.2751,442060.1334 4593786.0885,442062.8501 4593734.4714,442058.775 4593689.1931,442062.3974 4593663.3844,442141.6343 4593647.5369,442130.3148 4593612.6727,442124.8814 4593586.4113,442124.8814 4593547.4718,442123.0703 4593542.0385,442116.2785 4593545.2079,442105.8646 4593545.2079,442072.8113 4593561.0554,442042.0221 4593575.5443,442025.2691 4593576.45,442007.6105 4593579.6194,441984.5186 4593583.2417,441953.7293 4593585.9584,441923.393 4593591.8447,441891.2453 4593600.9003,441856.8338 4593613.1255,441840.9863 4593622.181)))",9,2,0.0890
"MULTIPOLYGON (((472991.0842 4608435.4677,473004.4864 4608442.4734,473010.2737 4608447.0422,473014.6904 4608450.2406,473026.1128 4608456.0281,473045.9115 4608468.5164,473061.5982 4608474.1514,473071.9545 4608475.6745,473084.8998 4608475.5221,473092.9716 4608473.9992,473097.8452 4608471.867,473102.2619 4608472.9331,473119.7761 4608477.3497,473135.1582 4608481.3094,473144.9053 4608483.137,473153.2817 4608485.4215,473154.8048 4608487.8583,473176.2787 4608493.1887,473203.6923 4608500.0421,473219.3791 4608503.8496,473232.1721 4608507.5047,473233.6951 4608507.6571,473238.1118 4608507.6571,473241.31 4608498.5192,473255.6261 4608458.4647,473267.353 4608424.8069,473270.2467 4608417.0397,473272.988 4608407.4449,473275.2725 4608395.7178,473249.3819 4608392.3673,473223.3387 4608389.1691,473199.8849 4608382.468,473188.4626 4608379.2697,473171.5574 4608373.787,473146.8852 4608366.0197,473118.2532 4608354.2927,473090.2303 4608339.2153,473078.1988 4608334.3418,473059.3138 4608326.27,473054.288 4608326.1176,473046.3683 4608332.971,473031.9001 4608356.1204,473015.4518 4608382.1635,472993.521 4608417.9535,472987.7336 4608425.873,472984.3831 4608431.8125,472991.0842 4608435.4677)))",10,1,0.0304
